case_id,recording_id,input_edf_path,input_sampling_rate_hz,output_sampling_rate_hz,input_n_times,output_n_times,input_duration_seconds,output_duration_seconds,input_channel_count,output_channel_count,output_channel_order,filter_applied,l_freq_hz,h_freq_hz,notch_applied,resampling_applied,rereferencing_applied,normalization_applied,before_expected_ictal_annotation_count,before_observed_ictal_annotation_count,before_ictal_annotation_count_match,before_all_ictal_annotations_inside_raw,after_expected_ictal_annotation_count,after_observed_ictal_annotation_count,after_ictal_annotation_count_match,after_all_ictal_annotations_inside_raw,output_fif_path,output_file_size_bytes,output_sha256,preprocessing_version,harmonization_policy_version,channel_set_name,mne_version,git_commit,run_timestamp_utc,processing_status
chb01,chb01_01,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_01.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_01_preproc-v1_raw.fif,62728717,dc682569cdf405272205f67b9cb4e8ef8930751ee96cb7d3bf8087de59c2f678,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_02,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_02.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_02_preproc-v1_raw.fif,62728717,bb42678543e5e405e0a6caaa918ffc5dfad50332049c4372f75f4485bfaa23d1,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_03,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_03.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,1,1,True,True,1,1,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_03_preproc-v1_raw.fif,62728838,b9fa732c0f58521c4f1ecdfefd43fa316cc722251c045844f946b4b5557fc126,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_04,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_04.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,1,1,True,True,1,1,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_04_preproc-v1_raw.fif,62728838,deb1b9545103563e1e94e1227d8edd0b302b44edb746c0849cd73b966b637e67,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_05,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_05.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_05_preproc-v1_raw.fif,62728717,597e0a23c7e9f54f31dfeb61f333b6bc449b731cf52c213cdf23277f83c022d2,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_06,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_06.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_06_preproc-v1_raw.fif,62728717,fcad2fe9173865a010cc13e0a15126db6025d105882deb5848320c5edeb55e41,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_07,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_07.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_07_preproc-v1_raw.fif,62728717,4a47cc6baa76e2f8485f003f8f130796907619035959e19098b7d2af0c22609f,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_08,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_08.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_08_preproc-v1_raw.fif,62728717,d926616dcd228a5adc3b6a68a9b10315394e1687b126971f3729f187cffba5c6,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_09,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_09.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_09_preproc-v1_raw.fif,62728717,94d21dfcb4950d163d90a8cd25dd379871166be41108e10dc53615462076e9e4,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
chb01,chb01_10,E:/My_Github/epilepsy-eeg-hybrid-ai/data/raw/chbmit/chb01/chb01_10.edf,256.0,256.0,921600,921600,3600.0,3600.0,23,17,FP1-F7|F7-T7|T7-P7|P7-O1|FP1-F3|F3-C3|C3-P3|P3-O1|FZ-CZ|CZ-PZ|FP2-F4|F4-C4|C4-P4|P4-O2|FP2-F8|F8-T8|P8-O2,True,0.5,45.0,False,False,False,False,0,0,True,True,0,0,True,True,data\interim\chbmit\preprocessing_v1\chb01\chb01_10_preproc-v1_raw.fif,62728717,b5e8d5c49b020f71f5ec3f9df6d2a82bf4a846c3b91589ebcb6483fec6575b57,preprocessing_v1,harmonization_v1,primary_17,1.12.1,3e33b1dcc42f16cd9604ba3aedc514ffa9e8bb93,2026-07-31T13:41:19.402535+00:00,success
